Student ID,First Name,Last Name,School Name,Grade,Gender,Counselor Email,Counselor First Name,Counselor Last Name,Hispanic Indicator,Race Description,Income Indicator,GPA,Weighted GPA,Elective Program,Home Language,Gifted Indicator,IEP Indicator,ELL Ind,Enrollment Year
171349,Brittany,Warren,Charger High School,9,F,jhines@chargersd.org,Jennie,Hines,N,American Indian,Y,1.92,2.05,,English,Y,Y,N,2018
208577,Beverly,Weaver,Charger High School,11,F,jhines@chargersd.org,Jennie,Hines,N,White,N,2.5,2.65,,English,N,N,N,2018
263465,Emily,Page,Charger High School,12,F,iterry@chargersd.org,Ira,Terry,Y,Hispanic,N,4,4.2,,Spanish,N,N,Y,2018
150276,Jo,Mathews,Charger High School,9,M,cwilliams@chargersd.org,Caroline,Williams,N,Asian,Y,1.85,2,AVID,Japanese,N,N,Y,2018
122977,Diana,Abbott,Charger High School,10,F,glove@chargersd.org,Gregg,Love,N,Filipino,Y,3.65,3.95,AVID,English,N,N,N,2018
271832,Clay,Norton,Charger High School,12,M,malvarado@chargersd.org,Mathew,Alvarado,Y,Hispanic,Y,2.88,3,,Spanish,N,N,N,2018
195955,Bessie,Reeves,Charger High School,9,F,iterry@chargersd.org,Ira,Terry,Y,Hispanic,N,1.5,1.5,,English,N,N,N,2018
295923,Sandy,Valdez,Charger High School,9,F,cwilliams@chargersd.org,Caroline,Williams,Y,Hispanic,Y,3.5,3.65,,Spanish,N,N,Y,2018
265955,Jennifer,Graham,Charger High School,10,F,malvarado@chargersd.org,Mathew,Alvarado,N,Pacific Islander,N,3.25,3.5,AVID,English,N,N,N,2018
113756,Richard,Sanchez,Charger High School,12,M,iterry@chargersd.org,Ira,Terry,Y,Hispanic,Y,2.95,3,,Spanish,Y,Y,N,2018
