School Name,Student ID,Staff Email,Staff First Name,Staff Last Name,Course ID,Course Name,Course Section,Course Period,Term,Enrollment Year
Charger High School,171349,rpattong@chargersd.org,Roberto,Pattong,170404,English 9,2,1,F,2018
Charger High School,171349,apark@chargersd.org,Aaron,Park,152209,Bio 1,1,2,F,2018
Charger High School,171349,cpittman@chargersd.org,Carmen,Pittman,289405,U.S. History,4,3,F,2018
Charger High School,208577,phudsom@chargersd.org,Phillip,Hudsom,278993,AP Euro,3,1,F,2018
Charger High School,208577,ahanson@chargersd.org,Audrey,Hanson,150125,Health 11,1,2,F,2018
Charger High School,208577,mgray@chargersd.org,Melinda,Gray,234578,AP Spanish,5,3,F,2018
Charger High School,208577,rryan@chargersd.org,Roxanne,Ryan,157506,Geo 2,2,4,F,2018
Charger High School,150276,ebarrent@chargersd.org,Emilio,Barrent,162696,Health 9,1,1,F,2018
Charger High School,150276,kowen@chargersd.org,Kimberly,Owen,212798,PolSci,4,2,F,2018
Charger High School,150276,gbrady@chargersd.org,Grady,Brady,136737,Chem 9,3,3,F,2018
Charger High School,271832,ahanson@chargersd.org,Audrey,Hanson,150125,Health 11,1,2,F,2018
Charger High School,271832,rryan@chargersd.org,Roxanne,Ryan,157506,Geo 2,2,4,F,2018
