School Name,First Name,Last Name,Staff Email,Position,Department
Charger High School,Roberto,Pattong,rpattong@chargersd.org,Teacher,English
Charger High School,Aaron,Park,apark@chargersd.org,Teacher,Science
Charger High School,Carmen,Pittman,cpittman@chargersd.org,Teacher,History
Charger High School,Phillip,Hudsom,phudsom@chargersd.org,Teacher,History
Charger High School,Audrey,Hanson,ahanson@chargersd.org,Teacher,Science
Charger High School,Melinda,Gray,mgray@chargersd.org,Teacher,Languages
Charger High School,Roxanne,Ryan,rryan@chargersd.org,Teacher,Science
Charger High School,Emilio,Barrent,ebarrent@chargersd.org,Teacher,Science
Charger High School,Kimberly,Owen,kowen@chargersd.org,Teacher,History
Charger High School,Grady,Brady,gbrady@chargersd.org,Teacher,Science
